2017-05-24 08:09:31 status unpacked libpam-modules:armhf 1.1.3-7.1
2017-05-24 08:09:31 status unpacked libpam-modules:armhf 1.1.3-7.1
2017-05-24 08:09:32 install libpam-modules-bin:armhf <none> 1.1.3-7.1
2017-05-24 08:09:32 status half-installed libpam-modules-bin:armhf 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2017-05-24 08:09:32 install libpam-runtime:all <none> 1.1.3-7.1
2017-05-24 08:09:32 status half-installed libpam-runtime:all 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam-runtime:all 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam-runtime:all 1.1.3-7.1
2017-05-24 08:09:32 install libpam0g:armhf <none> 1.1.3-7.1
2017-05-24 08:09:32 status half-installed libpam0g:armhf 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam0g:armhf 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam0g:armhf 1.1.3-7.1
2017-05-24 08:09:32 upgrade perl-base:armhf 5.14.2-21+deb7u3 5.14.2-21+deb7u3
2017-05-24 08:09:32 status half-configured perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:32 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:32 status half-installed perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:32 status half-installed perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:32 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:33 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:33 install sed:armhf <none> 4.2.1-10
2017-05-24 08:09:33 status half-installed sed:armhf 4.2.1-10
2017-05-24 08:09:33 status unpacked sed:armhf 4.2.1-10
2017-05-24 08:09:33 status unpacked sed:armhf 4.2.1-10
2017-05-24 08:09:33 install sensible-utils:all <none> 0.0.7
2017-05-24 08:09:33 status half-installed sensible-utils:all 0.0.7
2017-05-24 08:09:33 status unpacked sensible-utils:all 0.0.7
2017-05-24 08:09:33 status unpacked sensible-utils:all 0.0.7
2017-05-24 08:09:33 install login:armhf <none> 1:4.1.5.1-1
2017-05-24 08:09:33 status half-installed login:armhf 1:4.1.5.1-1
2017-05-24 08:09:33 status unpacked login:armhf 1:4.1.5.1-1
2017-05-24 08:09:33 status unpacked login:armhf 1:4.1.5.1-1
2017-05-24 08:09:33 install passwd:armhf <none> 1:4.1.5.1-1
2017-05-24 08:09:33 status half-installed passwd:armhf 1:4.1.5.1-1
2017-05-24 08:09:33 status unpacked passwd:armhf 1:4.1.5.1-1
2017-05-24 08:09:33 status unpacked passwd:armhf 1:4.1.5.1-1
2017-05-24 08:09:34 install libslang2:armhf <none> 2.2.4-15
2017-05-24 08:09:34 status half-installed libslang2:armhf 2.2.4-15
2017-05-24 08:09:34 status unpacked libslang2:armhf 2.2.4-15
2017-05-24 08:09:34 status unpacked libslang2:armhf 2.2.4-15
2017-05-24 08:09:34 install initscripts:armhf <none> 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status half-installed initscripts:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 install sysv-rc:all <none> 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status half-installed sysv-rc:all 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2017-05-24 08:09:34 install sysvinit:armhf <none> 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status half-installed sysvinit:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysvinit:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysvinit:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 install sysvinit-utils:armhf <none> 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status half-installed sysvinit-utils:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysvinit-utils:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysvinit-utils:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 install tar:armhf <none> 1.26+dfsg-0.1
2017-05-24 08:09:34 status half-installed tar:armhf 1.26+dfsg-0.1
2017-05-24 08:09:35 status unpacked tar:armhf 1.26+dfsg-0.1
2017-05-24 08:09:35 status unpacked tar:armhf 1.26+dfsg-0.1
2017-05-24 08:09:35 install tzdata:all <none> 2016d-0+deb7u1
2017-05-24 08:09:35 status half-installed tzdata:all 2016d-0+deb7u1
